,RecoveredData[groups_Recovered == i, "Province.State"]
1,Afghanistan
2,Andorra
3,Bahamas
4,Barbados
5,Bhutan
6,Chad
7,Beijing
8,Fujian
9,Inner Mongolia
10,Liaoning
11,Shaanxi
12,Shanxi
13,Sichuan
14,Tianjin
15,Congo (Kinshasa)
16,Costa Rica
17,Faroe Islands
18,French Guiana
19,Gabon
20,Haiti
21,Kyrgyzstan
22,Madagascar
23,Monaco
24,Aruba
25,Sint Maarten
26,New Zealand
27,Oman
28,Rwanda
29,San Marino
30,Sierra Leone
31,Spain
32,Taiwan*
33,Uganda
34,Cayman Islands
35,Vietnam
