,DeathData[groups_Death == i, "Province.State"]
1,Afghanistan
2,Albania
3,Algeria
4,Angola
5,Armenia
6,Bahrain
7,Bangladesh
8,Belarus
9,Brazil
10,Burma
11,Colombia
12,Costa Rica
13,Denmark
14,Dominican Republic
15,El Salvador
16,Ethiopia
17,Guatemala
18,Honduras
19,India
20,Indonesia
21,Iran
22,Iraq
23,Israel
24,Japan
25,Kenya
26,Kosovo
27,Kuwait
28,Lebanon
29,Libya
30,Mexico
31,Moldova
32,Montenegro
33,Morocco
34,Nepal
35,Nigeria
36,North Macedonia
37,Oman
38,Panama
39,Paraguay
40,Philippines
41,Portugal
42,Qatar
43,Romania
44,Russia
45,Saudi Arabia
46,Senegal
47,South Africa
48,Syria
49,Turkey
50,US
51,Ukraine
52,United Arab Emirates
53,Uzbekistan
54,Venezuela
55,West Bank and Gaza
