,DeathData[groups_Death == i, "Province.State"]
1,Andorra
2,Argentina
3,Victoria
4,Austria
5,Azerbaijan
6,Bahamas
7,Belgium
8,Belize
9,Bosnia and Herzegovina
10,Bulgaria
11,Burkina Faso
12,Cabo Verde
13,Alberta
14,British Columbia
15,Manitoba
16,Ontario
17,Quebec
18,Saskatchewan
19,Chile
20,Hong Kong
21,Cote d'Ivoire
22,Croatia
23,Cuba
24,Cyprus
25,Czechia
26,Egypt
27,Estonia
28,Eswatini
29,Finland
30,French Guiana
31,France
32,Georgia
33,Germany
34,Ghana
35,Greece
36,Guinea
37,Guyana
38,Haiti
39,Hungary
40,Ireland
41,Italy
42,Jamaica
43,Jordan
44,Korea, South
45,Latvia
46,Lithuania
47,Luxembourg
48,Madagascar
49,Malawi
50,Malaysia
51,Maldives
52,Mali
53,Malta
54,Mauritania
55,Mozambique
56,Namibia
57,Aruba
58,Netherlands
59,Niger
60,Norway
61,Pakistan
62,Peru
63,Poland
64,Rwanda
65,Serbia
66,Slovakia
67,Slovenia
68,Spain
69,Sri Lanka
70,Suriname
71,Sweden
72,Switzerland
73,Togo
74,Trinidad and Tobago
75,Tunisia
76,Uganda
77,United Kingdom
78,Uruguay
79,Yemen
80,Zimbabwe
